hour,spot_price_ct_kwh,grid_fee_ct_kwh,total_tariff_ct_kwh,enwg14a_curtailed,max_allowed_power_kw,naive_charging_power_kw,smart_charging_power_kw
0,3.698685661204493,4.2,7.898685661204493,0.0,220.0,0.0,220.0
1,3.563953887519787,4.2,7.763953887519787,0.0,220.0,0.0,220.0
2,4.227986501994742,4.2,8.427986501994742,0.0,220.0,0.0,0.0
3,5.134338208410293,4.2,9.334338208410294,0.0,220.0,0.0,0.0
4,5.156338650110666,4.2,9.356338650110665,0.0,220.0,0.0,0.0
5,6.000478559361505,4.2,10.200478559361505,0.0,220.0,0.0,0.0
6,7.631685126202956,4.2,11.831685126202956,0.0,220.0,0.0,0.0
7,8.212840549519987,4.2,12.412840549519988,0.0,0.0,0.0,0.0
8,8.56221024562602,4.2,12.762210245626019,0.0,0.0,0.0,0.0
9,9.691897751587302,4.2,13.891897751587301,0.0,0.0,0.0,0.0
10,9.84572183612055,4.2,14.04572183612055,0.0,0.0,0.0,0.0
11,10.194448490583635,4.2,14.394448490583635,0.0,0.0,0.0,0.0
12,8.596784908626415,4.2,12.796784908626414,0.0,0.0,0.0,0.0
13,7.61542829414862,4.2,11.81542829414862,0.0,0.0,0.0,0.0
14,7.341121780240323,4.2,11.541121780240324,0.0,0.0,0.0,0.0
15,9.249958722456528,4.2,13.449958722456529,0.0,0.0,0.0,0.0
16,8.34486755186623,4.2,12.54486755186623,0.0,0.0,0.0,0.0
17,8.031565590896932,11.5,19.531565590896932,0.0,0.0,0.0,0.0
18,6.636790369791515,11.5,18.136790369791516,1.0,84.0,84.0,0.0
19,5.5292118616070605,11.5,17.02921186160706,1.0,84.0,84.0,0.0
20,5.836259507568623,11.5,17.336259507568624,1.0,84.0,84.0,0.0
21,4.434815745652471,11.5,15.934815745652472,0.0,220.0,220.0,0.0
22,3.9959223686296355,4.2,8.195922368629635,0.0,220.0,220.0,34.11935246670796
23,3.0493603335028787,4.2,7.249360333502879,0.0,220.0,2.119352466708026,220.0
